cafe_id,name,picture,detail_url,latitude,longitude
1,コーヒーの大学院 ルミエール・ド・パリ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/03bb30d7dbe28c5005cbc55fe0a4c8b1/185452896603fa445f2eff_image.jpg,https://cafesnap.me/c/9455,35.4454063,139.639864
2,おやつ処 cafe 茶寿,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/10225146536031ea909e942_image.jpg,https://cafesnap.me/c/6032,35.4981633,139.6326669
3,Cafe douce,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/2073153801603e6a84a404a_user.jpg,https://cafesnap.me/c/4802,35.4845889,139.627529
4,Star Jewelry CAFE & Chocolatier,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/930d6a7ae8cbf99189a32b267ec5f1b4/909414619603e5f4019bcc_image.jpg,https://cafesnap.me/c/6624,35.4404995,139.6496215
5,yokohama coffee stand,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/e143c5eb3f706761486edd9b49abd39c/311880396604033daca592_user.jpg,https://cafesnap.me/c/6594,35.44193,139.648639
6,シルスマリア 馬車道本店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/596bf4bc6fc77620af1a171eee7745da/1370580589603d999bc18a3_user.jpg,https://cafesnap.me/c/13379,35.4484978,139.6362442
7,ZEBRA Coffee & Croissant,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/ee3119eecc155a513c0907982b0e2443/534769112603b9557dd7cf_user.jpg,https://cafesnap.me/c/14903,35.4548694,139.641962
8,マーロウブラザーズコーヒー そごう横浜店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/179200500560377787dfac9_image.jpg,https://cafesnap.me/c/14697,35.4654249,139.6250954
9,サモアール 馬車道店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/1792457767603727a44699f_user.jpg,https://cafesnap.me/c/6974,35.4484961,139.6365635
10,ブルーボトルコーヒー  みなとみらいカフェ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/853a5a16cb538d5bf6312a6d1cea3552/19633433116037176aaea0d_user.jpg,https://cafesnap.me/c/14454,35.4583369,139.6309036
11,えの木てい,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/5c8359da7bfaeb12dc99bdd7f9b4a9a1/3542697696034eeba39709_user.jpg,https://cafesnap.me/c/202,35.4375446,139.6520055
12,CHILLULU COFFEE,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9a6d2e49990b49d4dac4ee6c25c3740a/13006707806034a76e28afb_user.jpg,https://cafesnap.me/c/6348,35.442858,139.647136
13,Kurumicco Factory Cafe,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9852283b277e8f55c4f0f56680a0072d/308414679603483a859d34_user.jpg,https://cafesnap.me/c/13656,35.4563306,139.642262
14,rokucafe,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/0a005c6fefdeb56b061f9f0e1ebb821e/127225660460322c7f3b57c_user.jpg,https://cafesnap.me/c/1424,35.4651645,139.6147781
15,ブルーボトルコーヒー NEWoMan YOKOHAMA カフェスタンド,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9c5cb1cbd8b973f6b2aafa38a979d1a5/81851165160321c8000b74_user.jpg,https://cafesnap.me/c/14156,35.4666479,139.6219983
16,カフェ・ド・ピオン,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/6997114816030bba7ae301_image.jpg,https://cafesnap.me/c/14860,35.5221549,139.6283552
17,SAND GLASS,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/6689698006030bb0ac1b07_image.jpg,https://cafesnap.me/c/6464,35.4488792,139.6385025
18,珈琲専科 小島屋,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/72937000760305a178354e_user.jpg,https://cafesnap.me/c/9788,35.4459159,139.6391087
